pais,categoria,empresa,marcas,lineas_negocio,direccion,ciudad,provincia,telefono,web
Ecuador,Concesionario,AUTODELTA CIA. LTDA.,Nissan; Renault,"COMERCIALIZACIÓN DE VEHICULOS, TALLERES, REPUESTOS MARCAS: NISSAN, RENAULT",MATRIZ: AV 10 DE AGOSTO N44-197 Y EL INCA - Quito,Quito,Pichincha,2241774 - PBX 1800 130 130,www.autodelta.com.ec
Ecuador,Concesionario,AUTOLANDIA S.A.,Chevrolet,"COMERCIALIZACIÓN VEHÍCULOS, REPUESTOS Y TALLERES CHEVROLET",MATRIZ: AV. MARIANA DE JESUS OE3-283 Y AV. AMERICA,Quito,Pichincha,3202040 / Taller 2756412-2755413,
Ecuador,Concesionario,AUTOLÍDER ECUADOR S.A.,Mercedes Benz,"Importación, distribución, servicio y repuestos Mercedes-Benz",Matriz: Av. Galo Plaza Lasso y Luis Tufiño- Junto SRI,Quito,Pichincha,UIO 02 3930780-GYE 3713080,www.autoliderecuador.com.ec
Ecuador,Concesionario,AUTOMEKANO CIA. LTDA.,,"Vehículos, repuestos y talleres marca UD TRUCKS, JCB, LEEBOY",MATRIZ: AV. INDOAMERICA Km. 1 - Ambato,Ambato,Tungurahua,032521559 - 032520000-23344011,www.automekano.com
Ecuador,Concesionario,AUTOMOTORES ANDINA S.A.,Hyundai; Mazda,"Comercialización vehículos, partes y piezas MARCAS: MAZDA, HYUNDAI, SANG YONG",MATRIZ: Av.América N37-83 y Naciones Unidas - Quito,Quito,Pichincha,2240708 - 2241222,www.automotoresandina.com
Ecuador,Concesionario,AUTOMOTORES CARLOS LARREA T. CIA. LTDA.,Toyota,Sub concesionario de la marca Toyota (vehículos nuevos). También venta de vehículos usados,Agencia nuevos: Agencia Americas: Av Las Américas 25-27 y Junín,Ambato,Tungurahua,03 2521100 /03 2520908,www.automotorescarloslarrea.com
Ecuador,Concesionario,AUTOMOTORES CONTINENTAL S.A.,Chevrolet,"COMERCIALIZACIÓN VEHÍCULOS, REPUESTOS Y TALLERES CHEVROLET",MATRIZ: Av. 10 de Agosto N45-266 y las Retamas (sector El Labrador) - Quito,Quito,Pichincha,1800-141414 /2416065 Gerencia,www.automotorescontinental.com.ec
Ecuador,Concesionario,AUTOMOTORES DE FRANCIA AUTOFRANCIA C.A.,Peugeot,IMPORTACION Y COMERCIALIZACION DE VEHICULOS Y REPUESTOS MARCA PEUGEOT,MATRIZ :AV.GALO PLAZA LASSO N71-112 Y ENRIQUE GUERRERO PORTILLA,Quito,Pichincha,3933770/ 043704700,www.peugeot.com.ec
Ecuador,Concesionario,AUTOMOTORES DE LA SIERRA S.A. ASSA,Chevrolet,"COMERCIALIZACIÓN VEHICULOS NUEVOS Y USADOS (PESADOS) REPUESTOS Y ACCESORIOS, NEUMÁTICOS MARCA CHEVROLET",Av. Atahualpa KM. 2 y Rio Guayllabamba,Ambato,Tungurahua,03 2999800,www.assa.com.ec
Ecuador,Concesionario,AUTOMOTORES Y ANEXOS S.A. AYASA,Nissan; Renault,"VENTA DE VEHÍCULOS, REPUESTOS Y TALLERES NISSAN Y RENAULT .",MATRIZ: Av. Orellana E2-30 y Av. 10 de Agosto - Quito,Quito,Pichincha,3972800,www.nissan.com.ec / www.renault.ec
Ecuador,Concesionario,CAMIONES Y BUSES DEL ECUADOR S.A . CAMIONEQ,,Importadora y comercializadora de camiones y buses SCANIA,"Avda. Maldonado Km. 13 y Calle S55A, Guamaní",Quito,Pichincha,3070553 / 3653756,www.scaneq.com.ec
Ecuador,Concesionario,CASA BACA S.A.,Hino; Toyota,"Vehículos, repuestos y Servicios Toyota e Hino",MATRIZ: Av. 10 de Agosto N21-281 y Carrión - Quito,Quito,Pichincha,2223871 2223562,www.casabaca.com
