pais,dealer_id,dealer,ciudad,provincia,direccion,vehiculos,rating,reviews,url
Ecuador,1308,Autosiglo,Cuenca,Azuay,AV HEROES DE VERDELOMA Y GRAL TORRES ESQ,46,,,https://ecuador.patiotuerca.com/dealers-profile/autosiglo/1308
Ecuador,790,Autovid Seminuevos,Quito,Pichincha,Av América N39-77 y Brasil Junto A Pollos Gus Quito Ecuador,16,,,https://ecuador.patiotuerca.com/dealers-profile/autovid-seminuevos/790
Ecuador,1042,AutoZone,Guayaquil,Guayas,Av. Miguel H. Alcivar Calle Eleodoro Arboleda,18,,,https://ecuador.patiotuerca.com/dealers-profile/autozone/1042
Ecuador,1522,AVM Motors,Guayaquil,Guayas,Av. Pedro Menéndez gilbert - frente a solca alado de la prefectura,32,,,https://ecuador.patiotuerca.com/dealers-profile/avm-motors/1522
Ecuador,1346,Ballesteros Autos,Ambato,Tungurahua,ATAHUALPA Y CASAL SILVA,13,,,https://ecuador.patiotuerca.com/dealers-profile/ballesteros-autos/1346
Ecuador,294,Bmotors,Quito,Pichincha,AV. 10 DE AGOSTO N36-32 Y COREA,26,,,https://ecuador.patiotuerca.com/dealers-profile/bmotors/294
Ecuador,163,BT Autos,Ibarra,Imbabura,PANAMERICANA NORTE Y ROCIO OTAVALO,7,,,https://ecuador.patiotuerca.com/dealers-profile/bt-autos/163
Ecuador,1624,Burneo Autos,Quito,Pichincha,"CUMBAYÁ, N2B MANUELA SAENZ 300 SN Y SANTA INES PB",15,,,https://ecuador.patiotuerca.com/dealers-profile/burneo-autos/1624
Ecuador,167,Cabrera Autos,Quito,Pichincha,PICHINCHA / QUITO / AV. 10 DE AGOSTO N31-133 Y AV. MARIAN DE JESUS,232,,,https://ecuador.patiotuerca.com/dealers-profile/cabrera-autos/167
Ecuador,373,Canelos Autos,Quito,Pichincha,"Av Interoceánica 170184 Avenida Oswaldo Guayasamín, diagonal al Coral de Tumbaco",27,,,https://ecuador.patiotuerca.com/dealers-profile/canelos-autos/373
Ecuador,1605,Car Compra,Quito,Pichincha,AV EL INCA Y GUEPI,73,,,https://ecuador.patiotuerca.com/dealers-profile/car-compra/1605
Ecuador,1619,Car Compra Sucursal,Quito,Pichincha,AV EL INCA Y AMAZONAS,51,,,https://ecuador.patiotuerca.com/dealers-profile/car-compra-sucursal/1619
Ecuador,1291,Carranza Autos,Ambato,Tungurahua,AV INDOAMERICA S/N Y PASAJE LAS MINAS ESQ,14,,,https://ecuador.patiotuerca.com/dealers-profile/carranza-autos/1291
